,cod,mean_depth_coverage,sd_depth_coverage,median_depth_coverage,coverage_breadth,lineage
0,IAM12345_S11_L001,0.181352,0.85551,0.0,0.0000,
1,IAM12346_S2_L001,6.539499,50.190323,0.0,0.0254,
2,IAM12347_S22_L001,211.063995,866.115882,0.0,0.0981,
3,Control-neg1_S1_L001,103.058014,539.21394,0.0,0.0394,
4,IAM12348_S4_L001,0.13008,0.987809,0.0,0.0000,
5,IAM12349_S5_L001,24.029339,152.299362,0.0,0.0625,
6,IAM12350_S20_L001,550.075864,2733.514087,0.0,0.3178,
7,IAM12351_S18_L001,509.303646,1380.468859,3.0,0.3469,
8,IAM12352_S6_L001,1176.418819,1115.515995,798.0,0.9036,
9,IAM12353_S7_L001,1176.418819,1115.515995,798.0,0.9036,
