,cod,mean_depth_coverage,sd_depth_coverage,median_depth_coverage,coverage_breadth,lineage
0,OROV-44_S44_L001,1764.756677,1631.057996,1071.0,0.9140,
1,OROV-27_S27_L001,76.061491,211.570643,1.0,0.2995,
2,OROV-54_S54_L001,773.881861,702.734478,529.0,0.9291,
3,Control-neg-ext1_S64_L001,196.436161,485.097754,6.0,0.3893,
4,OROV-53_S53_L001,1526.82668,1190.857961,1149.0,0.9432,
5,OROV-55_S55_L001,2801.731142,1447.584718,2744.0,0.9690,
6,OROV-36_S36_L001,92.236278,63.734567,74.0,0.8679,
7,OROV-20_S20_L001,185.012474,611.227629,2.0,0.2549,
8,OROV-52_S52_L001,1986.426328,939.659746,1948.0,0.9552,
9,OROV-30_S30_L001,429.581156,293.156637,368.0,0.9356,
10,OROV-32_S32_L001,283.165982,545.023829,3.0,0.4078,
11,OROV-26_S26_L001,634.678896,998.080238,125.0,0.7499,
12,OROV-22_S22_L001,779.388465,2028.561965,3.0,0.4526,
13,OROV-6_S6_L001,376.312445,623.613083,101.0,0.7680,
14,OROV-156-SE_S67_L001,2284.031406,1625.504713,1975.0,0.9432,
15,OROV-viroteca_S65_L001,1565.382741,1860.131648,851.0,0.9165,
16,OROV-40_S40_L001,559.965952,842.716181,48.0,0.6804,
17,OROV-35_S35_L001,993.640153,555.195165,951.0,0.9432,
18,OROV-188-SE_S68_L001,68.882008,213.410869,0.0,0.2044,
19,OROV-57_S57_L001,18.660405,40.286815,2.0,0.1900,
20,OROV-38_S38_L001,2435.710743,1583.707915,2038.0,0.9432,
21,OROV-9_S9_L001,2340.76152,1735.789859,1828.5,0.9432,
22,OROV-39_S39_L001,1053.419724,1111.252834,466.0,0.8992,
23,OROV-13_S13_L001,1243.870414,1091.423413,877.0,0.9062,
24,OROV-47_S47_L001,703.139272,895.63706,244.0,0.8314,
25,OROV-4_S4_L001,1489.972997,1345.104215,884.0,0.9400,
26,OROV-56_S56_L001,13.315087,22.967633,0.0,0.2276,
27,OROV-3_S3_L001,884.893748,890.044042,495.5,0.9062,
28,Control-neg-ext2_S69_L001,95.670678,216.034654,0.0,0.2982,
29,OROV-5_S5_L001,251.789991,190.064528,195.0,0.9037,
30,OROV-2_S2_L001,2101.88098,1324.796282,1879.5,0.9432,
31,OROV-21_S21_L001,1236.875991,2063.716915,44.0,0.5192,
32,OROV-18_S18_L001,352.548723,573.296357,55.0,0.5932,
33,Undetermined_S0_L001,1399.947461,924.023371,1108.0,0.9808,
34,OROV-64-PB_S66_L001,395.450983,1201.991194,0.0,0.2408,
35,OROV-10_S10_L001,2892.398738,2221.354041,2429.0,0.9432,
36,OROV-63_S63_L001,8.267684,20.154721,0.0,0.1164,
37,OROV-61_S61_L001,66.461109,210.016679,0.0,0.2100,
38,OROV-33_S33_L001,1194.259906,2397.039824,131.0,0.6371,
39,OROV-51_S51_L001,3324.904902,1313.492084,3469.5,0.9839,
40,OROV-17_S17_L001,5170.30408,2391.162465,5221.5,0.9569,
41,OROV-24_S24_L001,553.870267,494.459323,403.0,0.9062,
42,OROV-25_S25_L001,4391.778104,2283.606897,4368.5,0.9497,
43,OROV-37_S37_L001,548.391107,418.21826,405.0,0.9062,
44,OROV-45_S45_L001,504.448048,694.899528,126.5,0.7579,
45,OROV-8_S8_L001,15.757264,21.835529,5.0,0.2944,
46,OROV-41_S41_L001,5845.007925,4183.709863,5150.5,0.9839,
47,OROV-48_S48_L001,1259.425741,1417.931263,624.0,0.8937,
48,OROV-19_S19_L001,35.275756,49.206003,4.0,0.4186,
49,OROV-28_S28_L001,1687.397124,1335.457681,1240.5,0.9432,
50,OROV-34_S34_L001,972.377898,778.777583,725.0,0.9522,
51,OROV-15_S15_L001,4289.092897,2143.351114,3946.0,0.9839,
52,OROV-1_S1_L001,492.65248,509.688177,288.0,0.8678,
53,OROV-49_S49_L001,791.850015,1040.061714,159.0,0.7661,
54,OROV-23_S23_L001,1116.313766,798.694887,978.0,0.9432,
55,OROV-46_S46_L001,241.912973,353.421593,69.0,0.6645,
56,OROV-29_S29_L001,1044.342237,967.813554,823.0,0.9432,
57,OROV-42_S42_L001,632.955826,774.89314,196.0,0.8557,
58,OROV-11_S11_L001,484.08732,731.743849,130.0,0.7016,
59,OROV-7_S7_L001,936.964045,928.625537,508.5,0.9062,
60,OROV-43_S43_L001,2454.671118,3443.251206,422.0,0.8833,
61,OROV-14_S14_L001,1604.806428,1024.482184,1408.0,0.9432,
62,OROV-12_S12_L001,1641.485618,890.520389,1448.0,0.9432,
63,OROV-16_S16_L001,36.094071,48.96571,11.0,0.3858,
64,OROV-50_S50_L001,330.067508,353.656853,206.0,0.8342,
