,cod,mean_depth_coverage,sd_depth_coverage,median_depth_coverage,coverage_breadth,lineage
0,OROV-8_S8_L001,9.230153,22.871407,1,0.0933,
1,OROV-viroteca_S65_L001,5740.263784,3413.22882,5159,0.9876,
2,OROV-43_S43_L001,1755.646534,1791.636793,1496,0.8781,
3,OROV-23_S23_L001,956.404942,1152.901382,511,0.9513,
4,OROV-44_S44_L001,1089.829558,1790.962153,240,0.9266,
5,OROV-39_S39_L001,646.024708,1148.508087,74,0.7486,
6,OROV-16_S16_L001,52.61908,131.236924,2,0.2151,
7,OROV-47_S47_L001,559.895447,1385.017677,25,0.5125,
8,OROV-50_S50_L001,294.22146,619.397044,36,0.6298,
9,OROV-42_S42_L001,424.044841,911.749295,36,0.5797,
10,OROV-1_S1_L001,269.110501,448.306713,56,0.6960,
11,OROV-25_S25_L001,3470.848547,2991.51213,2448,0.9876,
12,OROV-6_S6_L001,382.454129,977.224327,9,0.3631,
13,OROV-10_S10_L001,1803.672844,1446.170186,1320,0.9876,
14,OROV-22_S22_L001,192.277053,489.690066,4,0.3045,
15,OROV-49_S49_L001,250.753832,467.704476,34,0.5637,
16,OROV-37_S37_L001,411.518646,632.949723,166,0.9298,
17,OROV-54_S54_L001,512.31709,807.63458,148,0.8687,
18,OROV-11_S11_L001,235.366278,448.253349,18,0.4878,
19,OROV-30_S30_L001,317.752917,405.789402,174,0.9353,
20,OROV-32_S32_L001,186.123084,429.373321,8,0.4228,
21,OROV-15_S15_L001,3624.501945,2867.605996,2723,0.9876,
22,OROV-55_S55_L001,2368.294669,1724.328935,1970,0.9876,
23,OROV-7_S7_L001,728.331503,1399.946652,137,0.9025,
24,OROV-45_S45_L001,380.29261,976.255713,18,0.4841,
25,Control-neg-ext2_S69_L001,20.02814,68.285274,0,0.0744,
26,OROV-29_S29_L001,574.57218,715.987795,229,0.9353,
27,OROV-40_S40_L001,468.174788,1140.441307,6,0.3631,
28,OROV-3_S3_L001,588.207275,1127.218336,96,0.7973,
29,OROV-48_S48_L001,793.150766,1478.458034,144,0.8115,
30,OROV-56_S56_L001,27.610615,73.164013,1,0.2075,
31,OROV-21_S21_L001,372.676962,926.682896,40,0.6344,
32,OROV-46_S46_L001,146.913063,345.166108,6,0.3802,
33,OROV-188-SE_S68_L001,20.094715,68.304535,0,0.1299,
34,OROV-13_S13_L001,856.16701,1494.34918,247,0.9353,
35,OROV-4_S4_L001,1091.075269,1941.833176,264,0.9353,
36,OROV-33_S33_L001,330.80302,672.174046,34,0.6603,
37,OROV-19_S19_L001,19.520705,51.149194,0,0.1984,
38,OROV-38_S38_L001,1778.15191,2122.941801,951,0.9876,
39,OROV-52_S52_L001,1770.202471,1219.645948,1440,0.9876,
40,OROV-28_S28_L001,1220.974148,1907.797971,415,0.9353,
41,OROV-2_S2_L001,1444.146877,1615.044614,832,0.9373,
42,OROV-57_S57_L001,19.743537,33.149414,5,0.2311,
43,OROV-14_S14_L001,1173.889041,1309.00841,665,0.9826,
44,Undetermined_S0_L001,1122.18005,1110.763396,759,0.9876,
45,OROV-26_S26_L001,259.28712,465.49459,27,0.5358,
46,OROV-34_S34_L001,698.416381,968.778274,216,0.9307,
47,OROV-41_S41_L001,5421.665065,5660.451254,2766,0.9876,
48,OROV-35_S35_L001,798.087165,717.9878,590,0.9876,
49,OROV-51_S51_L001,3365.326241,1710.123905,3180,0.9876,
50,OROV-24_S24_L001,334.724091,507.63886,107,0.9192,
51,OROV-5_S5_L001,165.025166,232.892014,67,0.8172,
52,OROV-20_S20_L001,10.910547,37.543025,0,0.0730,
53,OROV-9_S9_L001,1672.107527,2272.075977,693,0.9689,
54,OROV-36_S36_L001,59.766873,86.994696,28,0.5530,
55,Control-neg-ext1_S64_L001,45.380005,110.646852,0,0.1823,
56,OROV-12_S12_L001,1324.49348,1103.746824,982,0.9876,
57,OROV-17_S17_L001,4312.96614,3319.093607,3377,0.9876,
58,OROV-53_S53_L001,1071.312286,1504.302786,471,0.9764,
59,OROV-18_S18_L001,272.601693,767.738029,5,0.3276,
60,OROV-156-SE_S67_L001,1783.135667,2457.859348,755,0.9826,
