,cod,mean_depth_coverage,sd_depth_coverage,median_depth_coverage,coverage_breadth,lineage
0,OROV-38_S38_L001,1617.458686,1120.017025,1985.5,0.8730,
1,OROV-5_S5_L001,109.395127,90.782317,110.0,0.6600,
2,OROV-16_S16_L001,9.551907,14.65964,0.0,0.2256,
3,OROV-47_S47_L001,250.066737,319.255036,76.5,0.6536,
4,OROV-2_S2_L001,829.193856,802.734593,655.5,0.8729,
5,OROV-6_S6_L001,132.513771,160.087264,52.5,0.6451,
6,OROV-50_S50_L001,139.006356,175.616019,40.0,0.6155,
7,OROV-19_S19_L001,3.5,5.038979,1.0,0.0000,
8,OROV-1_S1_L001,241.161017,183.362668,315.0,0.6600,
9,OROV-24_S24_L001,152.860169,144.270401,118.0,0.7553,
10,OROV-4_S4_L001,422.985169,513.860169,144.0,0.8114,
11,OROV-17_S17_L001,3127.126059,2198.019298,3682.5,0.8729,
12,OROV-43_S43_L001,3330.147246,4363.397194,17.0,0.4100,
13,OROV-46_S46_L001,27.168432,38.499345,4.0,0.3270,
14,OROV-52_S52_L001,1412.164195,883.595038,1741.5,0.8730,
15,OROV-33_S33_L001,43.330508,46.271582,24.0,0.5837,
16,OROV-8_S8_L001,3.457627,3.799914,3.0,0.0000,
17,OROV-36_S36_L001,56.010593,45.760359,64.0,0.6345,
18,OROV-26_S26_L001,29.420551,40.755173,4.0,0.3379,
19,OROV-48_S48_L001,415.855932,313.198998,543.0,0.8729,
20,OROV-9_S9_L001,1155.744703,860.389308,1265.0,0.8729,
21,OROV-51_S51_L001,3065.853814,1599.855251,3537.0,0.8729,
22,OROV-32_S32_L001,295.586864,383.424945,0.0,0.4100,
23,OROV-viroteca_S65_L001,2782.111229,1224.326753,3111.0,0.8738,
24,OROV-30_S30_L001,278.826271,208.170666,361.5,0.8453,
25,OROV-41_S41_L001,5422.699153,3937.883913,7091.0,0.8729,
26,OROV-37_S37_L001,368.360169,293.71941,427.0,0.8464,
27,OROV-23_S23_L001,745.527542,623.794606,859.0,0.6603,
28,OROV-35_S35_L001,669.411017,469.157663,777.5,0.8729,
29,OROV-29_S29_L001,315.887712,241.521011,376.0,0.8729,
30,OROV-55_S55_L001,1824.810381,1123.123293,2231.5,0.8729,
31,OROV-12_S12_L001,1291.947034,867.979869,1658.5,0.8729,
32,OROV-25_S25_L001,3708.189619,2270.018176,4525.5,0.8730,
33,OROV-14_S14_L001,1074.084746,747.76271,1394.0,0.8729,
34,OROV-34_S34_L001,286.638771,232.481805,285.5,0.8730,
35,OROV-11_S11_L001,26.054025,36.598568,3.5,0.3379,
36,OROV-3_S3_L001,525.225636,407.985831,672.0,0.8452,
37,OROV-7_S7_L001,579.512712,458.959095,707.5,0.8453,
38,OROV-53_S53_L001,838.60911,625.15613,1120.5,0.8729,
39,OROV-42_S42_L001,155.190678,144.376855,155.0,0.6607,
40,OROV-54_S54_L001,449.549788,337.837389,563.0,0.8729,
41,OROV-40_S40_L001,150.111229,142.688187,139.0,0.6600,
42,OROV-13_S13_L001,723.978814,575.19791,825.5,0.8729,
43,OROV-39_S39_L001,413.1875,337.090451,483.5,0.6984,
44,OROV-18_S18_L001,27.725636,38.403284,5.0,0.3379,
45,OROV-57_S57_L001,29.541314,41.21488,6.0,0.3220,
46,OROV-28_S28_L001,1013.603814,796.527017,1217.0,0.8729,
47,OROV-10_S10_L001,1182.418432,653.355721,1377.0,0.8729,
48,OROV-15_S15_L001,3755.415254,2434.045247,4535.0,0.8729,
49,OROV-156-SE_S67_L001,1219.927966,1030.090018,1173.5,0.8727,
50,OROV-44_S44_L001,640.375,516.084,787.0,0.7182,
51,Undetermined_S0_L001,840.71822,487.069562,1018.5,0.8729,
52,OROV-56_S56_L001,98.332627,150.402019,1.0,0.3220,
53,OROV-49_S49_L001,124.880297,138.436871,80.0,0.6525,
54,OROV-45_S45_L001,147.044492,135.300177,133.0,0.6600,
